Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Africa Eastern and Southern,AFE,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Afghanistan,AFG,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,8.523880107,,,9.900073859,6.039999962,,,
Africa Western and Central,AFW,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Angola,AGO,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,6.941303008,,6.56733248,,,
Albania,ALB,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,14.31905677,15.370931,16.15102641,16.58623537,,,,,
Andorra,AND,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,31.96999931,31.82999992,,,,,,40.20000076,,
Arab World,ARB,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
United Arab Emirates,ARE,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,55.04000092,56.52000046,54.38999939,,54.33000183,55.86999893,56.52999878,54.52999878
Argentina,ARG,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Armenia,ARM,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,44.77999878,46.16596129,48.91609636,44.66999817,50.9187096,50.30646158,48.81600732,
American Samoa,ASM,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Antigua and Barbuda,ATG,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,21.28926015,,,,,27.33884802,
Australia,AUS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,41.29999924,42.79999924,43.34999847,43.45999908,45.49000168,46.81999969,48.11000061,49.11000061,47.47101256,48.83632919
Austria,AUT,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,31.25,31.82999992,32.16999817,33.06401175,33.5,33.66031858,34.12478127,,,
Azerbaijan,AZE,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,34.40000153,34.45000076,34.47000122,34.52999878,34.52999878,,,,33.90000153,
Burundi,BDI,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Belgium,BEL,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,32.65999985,33.22999954,35.65999985,33.85993782,35.61999893,35.08268174,38.4846023,36.58654678,37.6399771,
Benin,BEN,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,8.467581589,,,8.167859675,,
Burkina Faso,BFA,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,4.840000153,5.070069085,,,3.549567231,7.013840471,4.234502155
Bangladesh,BGD,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,18.11000061,18.62000084,19.19000053,19.88999939,20.55999947,,22.27000046,,,
Bulgaria,BGR,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,20.38999939,20.55999947,20.57999992,21.95270205,21.04573692,22.12000084,23.06586643,22.23665128,22.48468246,
Bahrain,BHR,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,23.04000092,23.45999908,30.54999924,,32.29000092,,37.20999908,35.20000076,34.90000153
"Bahamas, The",BHS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,13.07999992,13.42000008,9.608912123,13.35999966,8.823312111,14.17000008,,15.13000011,18.24066635,
Belarus,BLR,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,74.30000305,,,,,
Belize,BLZ,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,20.9332046,16.35512252,19.56999969,,,,
Bermuda,BMU,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,51.24000168,,,,,,,,
Bolivia,BOL,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,27.20999908,20.36584104,22.12235939,,32.59000015,33.02000046,27.12383481,28.91373118,30.18471777,
Brazil,BRA,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,
