Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.63575345,0.951537825,7.040657465,2.234428765,-2.496550426,-25.79322942,25.15496385,8.912308079,4.21613214,
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.262663002,-0.467420825,0.018464181,-0.104064111,-0.543714732,-5.447021132,1.829597322,0.90533014,-0.645083898,0.256613278
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.665057447,-0.300121027,-0.195569548,-1.713742693,0.856294729,-5.382514642,-22.58448187,-7.576668912,0.106092801,
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.186777383,-2.448450744,-0.355460041,0.330192195,0.792526324,-3.321744629,1.599745709,1.578046199,0.920848216,1.707193462
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.630701832,-6.002648683,-3.620757682,-4.665969917,-4.010017337,-8.672076174,-1.969590687,-0.143628268,-1.988293313,1.292930656
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.525830935,4.075198423,3.378211536,3.927525709,2.498299447,-2.756980235,9.98433058,6.108947895,5.137123553,5.162521915
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.630797937,3.699620468,-1.806057033,-0.302119304,0.265352821,-12.22383849,6.927044852,7.721238001,1.123259079,2.006784451
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.786178975,1.177005715,-0.413328595,0.8343046,-0.169697469,-6.739136927,2.835410187,4.565307903,-0.75981275,-0.610337907
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.18960692,0.483038735,-2.411856071,-0.024508823,0.047746018,-4.504667625,2.457174573,2.176083438,-0.421510863,0.010374174
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.660912538,-3.024500956,1.916396081,-3.415536839,-2.695067235,-10.33610969,10.14855999,5.048195323,-1.892949797,-2.058402754
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.515995473,0.611877151,7.965446065,5.568501179,7.836084387,-7.168664527,5.771427608,12.33833356,8.479020342,3.484216252
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.296623367,-0.488137584,-5.799364048,4.038507121,0.897584681,5.351787426,0.29788482,3.593276063,,
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.691094825,3.47228425,2.146187576,6.174489769,2.677613194,-19.29454628,7.583674814,8.530771197,1.904886418,3.820191439
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.729964315,1.166815387,0.609016554,1.350866131,0.673067166,-1.343977433,1.967399837,2.924100641,0.964385754,-0.627097846
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.174259723,1.018877232,1.564306897,1.986262964,1.303503176,-6.706393611,4.339758399,4.275933279,-1.930145664,-1.676594419
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.147024804,-4.141174903,-0.824348483,0.62488441,1.615829574,-4.852351546,5.151489356,4.673318014,1.232679755,3.57269253
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.055503773,-2.296878917,-1.834691663,-1.411807623,-1.476334832,-2.548980787,0.329205803,-0.869930825,-0.096964332,0.84939104
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.887876358,0.682454833,1.084311513,1.415289375,1.89071932,-5.20244011,5.771345643,3.420168308,0.281207552,0.258325283
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.184320438,0.36116614,2.6704172,3.737015543,3.982113266,1.120202648,4.413354351,3.58043408,3.703325128,4.840178691
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.888259828,2.903509091,3.216405217,3.767726783,3.243918662,-0.443420002,4.431005409,-0.819552931,0.64957799,2.653443724
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.604495397,6.1618156,5.68710307,6.441974947,6.972643998,2.586478166,6.07069417,6.008474629,4.490704094,2.96499838
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.72028573,4.372882161,4.115239259,3.965578923,5.264447923,-2.240167074,8.499367455,4.717940257,2.179218452,2.846404277
