Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,75.83933325,75.46386731,74.91576494,74.64861267,74.45053646,73.12441822,73.6223337,73.87894753,74.78235976,74.69727354
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,75.308,74.361,73.401,71.376,69.398,66.75,67.288,70.225,70.233,69.873
Africa Western and Central,AFW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,78.09400775,78.20670592,77.79367426,77.6333643,77.46844887,77.15041564,77.01522541,77.07512501,76.46161206,76.36010528
Angola,AGO,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,78.557,78.212,77.864,77.512,77.156,76.823,78.13,78.168,78.396,78.386
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,64.257,65.075,66.751,67.535,68.004,65.26,66.164,67.987,67.984,68.162
Andorra,AND,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,70.52629374,70.35537122,69.6265529,69.69779425,69.87227595,68.33640841,68.67246626,69.43509464,70.13340549,70.00400073
United Arab Emirates,ARE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,92.136,92.401,92.135,92.545,91.67,88.88,90.216,89.288,89.475,89.614
Argentina,ARG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,71.478,70.948,70.414,70.466,70.981,65.925,70.836,71.453,71.944,71.797
Armenia,ARM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,69.443,69.62,69.513,69.443,69.816,68.122,69.133,68.775,68.433,67.982
American Samoa,ASM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,
Australia,AUS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,71.176,70.698,70.791,71.074,71.228,70.16,70.808,71.231,71.332,71.212
Austria,AUT,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,65.928,66.318,66.244,66.682,66.544,65.75,66.165,66.325,66.13,65.815
Azerbaijan,AZE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,66.304,67.59,68.185,68.45,68.274,70.328,64.879,66.788,66.342,65.713
Burundi,BDI,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,78.176,78.847,79.11,79.025,78.595,78.535,77.764,77.926,77.643,77.312
Belgium,BEL,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,58.954,58.771,58.95,58.793,58.908,58.305,58.93,59.323,59.161,58.952
Benin,BEN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,75.068,75.271,75.473,75.676,75.878,75.922,77.198,77.322,77.014,77.047
Burkina Faso,BFA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,71.478,68.958,66.415,63.851,61.258,58.285,56.283,53.821,53.741,53.489
Bangladesh,BGD,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,80.736,80.134,81.407,81.16,80.986,80.633,81.368,81.386,81.097,80.943
Bulgaria,BGR,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,60.111,59.64,61.667,61.957,63.4,62.692,62.104,63.213,63.153,62.964
Bahrain,BHR,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,86.695,87.026,87.167,87.093,86.809,84.634,84.348,85.626,86.05,85.949
"Bahamas, The",BHS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,79.036,79.159,79.193,79.228,79.361,74.68,76.32,78.426,78.277,78.14
Bosnia and Herzegovina,BIH,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,62.716,62.426,62.1,61.709,61.255,60.752,60.585,60.496,60.625,60.363
Belarus,BLR,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,70.949,71.095,71.494,71.949,71.358,71.337,71.163,71.367,70.795,70.24
Belize,BLZ,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,79.477,79.331,79.267,80.851,82.295,77.5,75.291,75.131,74.918,74.758
Bermuda,BMU,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,77.958,77.735,78.107,80.002,82.047,80.146,84.557,84.873,84.867,84.998
Brazil,BRA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,75.71,75.54,75.16,74.881,74.917,71.101,72.914,73.67,73.116,72.873
Barbados,BRB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,69.579,70.02,70.228,70.274,68.621,67.507,67.512,67.339,66.978,66.618
Brunei Darussalam,BRN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,72.971,72.432,71.94,74.021,73.255,72.258,71.79,73.105,73.089,72.949
Bhutan,BTN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,69.953,69.701,69.454,69.211,71.202,71.913,72.656,72.112,72.15,72.173
Botswana,BWA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,68.272,68.391,68.553,68.759,68.999,67.029,69.098,69.363,73.195,73.417
Central African Republic,CAF,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,82.514,82.508,82.541,82.57,82.599,81.862,81.614,82.791,82.886,82.868
Canada,CAN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,70.942,70.526,70.637,70.246,70.476,68.927,69.863,69.547,69.693,69.56
Central Europe and the Baltics,CEB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,64.05732471,64.23491558,64.83893059,64.9473061,65.15263295,65.12404291,65.49667486,65.68330239,65.51700572,65.24724229
Switzerland,CHE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,74.279,74.575,74.546,74.307,73.719,73.483,72.751,71.922,72.583,72.221
Channel Islands,CHI,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,67.102,66.715,66.374,66.049,65.677,64.767,65.147,64.86,64.388,64.049
Chile,CHL,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,74.225,73.958,74.418,74.239,73.721,67.515,68.774,70.483,71.297,71.154
