Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Africa Eastern and Southern,AFE,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,76.9109726,77.40395355,77.02549744,77.6234436,78.52005005,78.60011292,78.18910217,78.33878326,78.47373199,78.62288666
Afghanistan,AFG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,50.20999908,,,,,50.37151007,52.06000137,,,
Africa Western and Central,AFW,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,64.80420685,65.02207184,65.99932098,69.05912018,68.63101959,68.64566803,68.85462952,69.07647705,69.28063965,69.39804077
Angola,AGO,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,83.76999664,,,,,,,,,
Albania,ALB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,98.56999969,,,,,,98.15000153,
Andorra,AND,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,84.95681763,83.40493011,83.82756805,84.02346802,84.12856293,84.44480896,84.66340637,84.938797,85.16497803,85.43034363
United Arab Emirates,ARE,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,98.22000122,,98.80999756,98.81999969,98.51000214,99.02999878
Argentina,ARG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,99.12999725,,,,
Armenia,ARM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,99.80999756,99.80999756,,,99.83999634,,99.73000336,99.76999664,
American Samoa,ASM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Australia,AUS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Austria,AUT,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,99.86000061,99.86000061,99.86000061,,99.87000275,,,,99.83999634,
Burundi,BDI,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,73.30000305,76.30000305,,,78.16563337,,,,
Belgium,BEL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Benin,BEN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,51.04999924,,61.41999817,,56.45999908,62.61999893,,
Burkina Faso,BFA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,49.16999817,35.40999985,,44.11999893,49.77999878,48.43830901,
Bangladesh,BGD,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,68.05999756,75.62000275,75.69999695,76.66999817,77.44000244,77.81999969,79.20999908,81.38999939,,
Bulgaria,BGR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Bahrain,BHR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,98.83000183,98.70999908,98.66999817
"Bahamas, The",BHS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Belarus,BLR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,99.87000275,,,,,
Belize,BLZ,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,90.16000366,,,,,,,87.87999725,,
Bermuda,BMU,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,96.51999664,,,,,97.44000244,,,97.76999664,
Brazil,BRA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,91.73000336,92.58000183,92.88999939,93.01000214,93.62411418,94.5118068,94.50453799,94.09135604,94.26885316,94.49393252
Barbados,BRB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Bhutan,BTN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,75.01999664,,,,,73.38999939,,
Botswana,BWA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Central African Republic,CAF,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,59.84000015,,,,,
Canada,CAN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,99.47701263,99.48272705,99.48999023,99.45526886,99.46640778,99.47530365,99.48233032,99.49107361,99.49829865,99.50379944
Switzerland,CHE,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Chile,CHL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,97.01999664,,96.48000336,,,,,,,
China,CHN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,98.37999725,,,,
Cote d'Ivoire,CIV,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,59.61999893,,,67.65386409,,60.20000076,68.03324575,,
Cameroon,CMR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,79.70999908,,,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,88.51999664,,87.51000214,,,,,,
"Congo, Rep.",COG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Colombia,COL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,94.05999756,94.40000153,94.72830921,94.84999847,95.01999664,95.37999725,95.48640097,95.11980405,95.29451759,94.97000122
Comoros,COM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,79.88829259,,,
Cabo Verde,CPV,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,91.69000244,,,,,,,,,92.90000153
Costa Rica,CRI,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Caribbean small states,CSS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Cuba,CUB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,99.02999878,,,,,
Curacao,CUW,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Cyprus,CYP,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Czechia,CZE,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Germany,DEU,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,91.65000153,93.79000092,93.43152293,93.43682176,93.6136998,93.81268565,93.96228833,93.75334315,94.49291753,93.59999847
Algeria,DZA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,97.49659729,97.60637665,97.6832962,97.6186676,97.69566345,97.86170197,97.93553925,98.01204681,98.07913971,98.14537811
Early-demographic dividend,EAR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,84.53386688,85.00920868,85.15248871,85.28095245,85.25377655,85.6452713,85.94600677,86.34960175,86.66101074,86.96418762
East Asia & Pacific,EAS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,97.23339844,97.34609985,97.42681122,97.37487793,97.44933319,97.61483002,97.69233704,97.77012634,97.83706665,97.90524292
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,99.40921783,99.465271,99.52259827,99.54879761,99.61421204,99.61985016,99.63452148,99.63725281,99.65856171,99.68054199
Europe & Central Asia,ECS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,98.81685638,98.85183716,98.90096283,98.95793915,98.99938965,99.02622223,99.1181488,99.12013245,99.1271286,
