Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,,,,,,,,,,
Africa Eastern and Southern,AFE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,394,376,354,327,308,290,312,269,268,
Afghanistan,AFG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,741,702,659,629,601,634,660,551,521,
Africa Western and Central,AFW,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,820,799,782,757,744,720,716,674,650,
Angola,AGO,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,249,236,220,208,202,195,211,185,183,
Albania,ALB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,9,8,8,7,7,7,14,8,7,
Andorra,AND,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,10,10,11,11,11,48,18,17,11,
Arab World,ARB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,137,135,133,134,130,138,158,129,121,
United Arab Emirates,ARE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,3,3,3,3,3,6,6,2,3,
Argentina,ARG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,39,40,38,38,36,40,76,39,33,
Armenia,ARM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,25,25,24,24,23,43,57,27,19,
American Samoa,ASM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,,,,,,,,,,
Antigua and Barbuda,ATG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,30,28,31,31,32,35,32,36,35,
Australia,AUS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,6,6,6,5,5,5,4,4,2,
Austria,AUT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,7,6,6,7,7,6,6,7,6,
Azerbaijan,AZE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,21,22,22,21,21,21,55,32,18,
Burundi,BDI,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,525,501,482,464,449,441,447,412,392,
Belgium,BEL,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,5,5,5,5,4,4,7,11,4,
Benin,BEN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,606,604,592,585,572,578,584,547,518,
Burkina Faso,BFA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,328,313,298,286,274,334,354,316,242,
Bangladesh,BGD,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,204,191,179,168,157,152,194,131,115,
Bulgaria,BGR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,7,7,7,7,6,9,9,10,6,
Bahrain,BHR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,16,17,17,16,17,7,10,5,17,
"Bahamas, The",BHS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,83,77,79,82,82,84,174,80,76,
Bosnia and Herzegovina,BIH,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,7,7,7,7,6,7,13,12,6,
Belarus,BLR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,1,1,1,1,1,2,2,1,1,
Belize,BLZ,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,47,51,56,60,61,88,157,110,67,
Bermuda,BMU,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,,,,,,,,,,
Bolivia,BOL,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,166,162,160,157,156,218,270,164,146,
Brazil,BRA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,63,64,61,62,65,85,128,104,67,
Barbados,BRB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,37,36,37,37,36,39,38,38,35,
Brunei Darussalam,BRN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,39,39,39,39,38,39,44,88,36,
Bhutan,BTN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,68,63,58,55,52,51,50,49,47,
Botswana,BWA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,141,72,46,99,100,98,165,120,155,
Central African Republic,CAF,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,981,962,1093,881,1650,1296,1127,841,692,
Canada,CAN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,11,12,12,13,12,17,14,15,12,
Central Europe and the Baltics,CEB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,8,7,7,7,7,8,11,7,6,
Switzerland,CHE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,6,7,6,6,6,5,4,4,5,
