Economy,Economy Code,ISO Code,Region,Income Group,Report Year,Does the law prohibit discrimination in employment based on gender?,Score,Legal Basis,Length of paid maternity leave,Length of paid paternity leave,Shared days
Afghanistan,AFG,AFG,South Asia,Low income,2015,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2016,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2017,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2018,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2019,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2020,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2021,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2022,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2023,No,0,No applicable provisions could be located,90,14,0
Afghanistan,AFG,AFG,South Asia,Low income,2024,No,0,No applicable provisions could be located,90,14,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2015,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,0,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2016,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,0,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2017,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2018,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2019,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2020,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2021,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2022,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2023,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2024,Yes,1,"Law No. 7961 of 12 July 1995, Art. 9",365,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2015,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2016,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2017,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2018,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2019,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2020,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2021,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2022,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2023,No,0,No applicable provisions could be located,98,3,0
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2024,No,0,No applicable provisions could be located,98,3,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2015,Yes,1,"General Labor Law, Arts. 3 and 7",90,0,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2016,Yes,1,"General Labor Law, Arts. 3 and 7",90,0,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2017,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2018,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2019,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2020,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2021,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2022,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2023,Yes,1,"General Labor Law, Arts. 4(1), Art. 157(1) and Art. 242(1)",90,1,0
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,2024,Yes,1,"General Labor Law, Arts. 4(1), 157(1) and 242(1)",90,1,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2015,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2016,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2017,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2018,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2019,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2020,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2021,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2022,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",91,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2023,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",98,0,0
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,2024,Yes,1,"Labor Code of Antigua and Barbuda, Sec. C4",98,0,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2015,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2016,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2017,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2018,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2019,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2020,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2021,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2022,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2023,Yes,1,"Ley de Protección Integral a las Mujeres, Art. 6(c); Ley de Contrato de Trabajo, Arts. 17 y 172",90,2,0
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2024,Yes,1,"Ley de Contrato de Trabajo, Arts. 17 y 172 ; Ley de Protección Integral a las Mujeres, Art. 6(c)",90,2,0
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2015,Yes,1,"Labor Code 2004, Art. 3",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2016,Yes,1,"Labor Code 2004, Art. 3",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2017,Yes,1,"Labor Code 2004, Art. 3",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2018,Yes,1,"Law on Equal Rights and Equal Opportunities for Women and Men, Arts. 6 and 13",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2019,Yes,1,"Law on Equal Rights and Equal Opportunities for Women and Men, Arts. 6 and 13",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2020,Yes,1,"Law on Equal Rights and Equal Opportunities for Women and Men, Arts. 6 and 13",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2021,Yes,1,"Law on Equal Rights and Equal Opportunities for Women and Men, Arts. 6 and 13",140,0,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2022,Yes,1,"Law on Equal Rights and Equal Opportunities for Women and Men, Arts. 6 and 13",140,7,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2023,Yes,1,"Law on Equal Rights and Equal Opportunities for Women and Men, Arts. 6 and 13",140,7,660
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2024,Yes,1,"Labor Code, Arts. 3 and 3-1",140,7,660
Australia,AUS,AUS,High income: OECD,High income,2015,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2016,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2017,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2018,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2019,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2020,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2021,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2022,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2023,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,14,126
Australia,AUS,AUS,High income: OECD,High income,2024,Yes,1,"Sex Discrimination Act 1984, Sec. 14",0,0,126
Austria,AUT,AUT,High income: OECD,High income,2015,Yes,1,Federal Equal Treatment Act (BGBI.1993/100),112,0,540
Austria,AUT,AUT,High income: OECD,High income,2016,Yes,1,Federal Equal Treatment Act (BGBI.1993/100),112,0,540
Austria,AUT,AUT,High income: OECD,High income,2017,Yes,1,Federal Equal Treatment Act (BGBI.1993/100),112,0,540
Austria,AUT,AUT,High income: OECD,High income,2018,Yes,1,"Equal Treatment Act, Art. 3",112,0,540
Austria,AUT,AUT,High income: OECD,High income,2019,Yes,1,"Equal Treatment Act, Art. 3",112,0,540
Austria,AUT,AUT,High income: OECD,High income,2020,Yes,1,"Equal Treatment Act, Art. 3",112,0,540
Austria,AUT,AUT,High income: OECD,High income,2021,Yes,1,"Equal Treatment Act, Art. 3",112,30,365
Austria,AUT,AUT,High income: OECD,High income,2022,Yes,1,"Equal Treatment Act, Art. 3",112,30,365
Austria,AUT,AUT,High income: OECD,High income,2023,Yes,1,"Equal Treatment Act, Art. 4",112,30,365
Austria,AUT,AUT,High income: OECD,High income,2024,Yes,1,"Equal Treatment Act, Art. 4",112,30,365
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2015,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2016,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2017,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2018,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2019,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2020,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2021,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2022,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2023,Yes,1,"Labor Code, Art. 16",126,0,1039
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2024,Yes,1,"Labor Code, Art. 16",126,0,1039
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2015,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2016,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2017,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2018,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2019,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2020,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2021,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2022,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2023,Yes,1,"Labor Code, Sec. 6",84,0,0
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,2024,Yes,1,"Labor Code, Sec. 6",84,0,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2015,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2016,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2017,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2018,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2019,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2020,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2021,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2022,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2023,Yes,1,"Labor Code, Art. 29",60,1,0
Bahrain,BHR,BHR,Middle East & North Africa,High income,2024,Yes,1,"Labor Code, Art. 29",60,1,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2015,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2016,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2017,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2018,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2019,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2020,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2021,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2022,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2023,No,0,No applicable provisions could be located,112,0,0
Bangladesh,BGD,BGD,South Asia,Lower middle income,2024,No,0,No applicable provisions could be located,112,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2015,No,0,No applicable provisions could be located,84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2016,No,0,No applicable provisions could be located,84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2017,No,0,No applicable provisions could be located,84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2018,No,0,No applicable provisions could be located,84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2019,No,0,No applicable provisions could be located,84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2020,No,0,No applicable provisions could be located,84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2021,Yes,1,"Employment (Prevention of Discrimination) Act 2020, Secs. 3-5",84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2022,Yes,1,"Employment (Prevention of Discrimination) Act 2020, Secs. 3-5",84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2023,Yes,1,"Employment (Prevention of Discrimination) Act 2020, Secs. 3-5",84,0,0
Barbados,BRB,BRB,Latin America & Caribbean,High income,2024,Yes,1,"Employment (Prevention of Discrimination) Act 2020, Secs. 3-5",84,0,0
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2015,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2016,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2017,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2018,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2019,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2020,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2021,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2022,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2023,Yes,1,"Labor Code, Art. 14",126,0,1095
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2024,Yes,1,"Labor Code, Art. 14",126,0,1095
Belgium,BEL,BEL,High income: OECD,High income,2015,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2016,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2017,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2018,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2019,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2020,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2021,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,14,0
Belgium,BEL,BEL,High income: OECD,High income,2022,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,21,0
Belgium,BEL,BEL,High income: OECD,High income,2023,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,21,0
Belgium,BEL,BEL,High income: OECD,High income,2024,Yes,1,"Loi du 10 Mai 2007, Arts. 3 et 6",105,28,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2015,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2016,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2017,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2018,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2019,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2020,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2021,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2022,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2023,No,0,No applicable provisions could be located,98,0,0
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2024,No,0,No applicable provisions could be located,98,0,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2015,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2016,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2017,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2018,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2019,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2020,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2021,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2022,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2023,Yes,1,"Code du Travail, Art. 4",98,3,0
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,2024,Yes,1,"Code du Travail, Art. 4",98,3,0
