Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,67.347,67.647,67.927,67.968,67.964,75.591,74.124,82.589,82.554,82.604
Afghanistan,AFG,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,17.468,18.183,18.847,18.641,18.385,32.851,32.136,29.786,29.744,29.394
Afghanistan,AFG,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,41.857,42.362,42.84,42.766,42.642,53.764,52.685,55.619,55.558,55.386
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,11.611,12.834,14.018,14.783,15.549,16.778,16.945,26.742,26.57,25.636
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.401,9.399,10.363,10.198,10.031,10.456,10.911,13.168,13.066,12.394
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991,13.295
Albania,ALB,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,31.224,27.608,27.5,27.752,25.445,26.898,26.033,25.755,25.602,25.624
Albania,ALB,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,28.432,27.178,24.986,25.512,26.187,25.606,22.252,21.811,21.715,21.758
Albania,ALB,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,29.816,27.391,26.228,26.614,25.824,26.236,24.085,23.714,23.586,23.614
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,17.122,14.49,12.524,11.888,11.318,11.648,11.678,10.405,10.376,10.527
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,17.248,16.162,14.466,12.635,11.587,11.724,11.307,9.917,9.888,10.023
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108,10.25
Algeria,DZA,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,32.258,31.624,31.603,30.584,30.219,31.09,30.136,29.963,30.001,30.016
Algeria,DZA,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,10.853,9.878,10.91,10.736,10.569,12.478,11.07,10.795,10.531,10.525
Algeria,DZA,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,21.2,20.409,20.95,20.385,20.142,21.562,20.391,20.182,20.072,20.071
Algeria,DZA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,16.741,18.763,21.252,21.477,21.677,24.032,23.351,22.126,21.144,20.828
Algeria,DZA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.028,8.408,10.08,10.215,10.337,12.026,11.638,10.39,9.79,9.526
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.206,10.202,12,12.137,12.259,14.057,13.63,12.346,11.701,11.427
American Samoa,ASM,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
