Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,28.14971007,28.98916968,28.70592263,28.77157013,29.27456382,30.1284473,30.47478837,30.52362708,30.5180591,30.23255814
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,27.71084337,27.71084337,27.71084337,,27.86885246,27.01612903,27.01612903,,,
Africa Western and Central,AFW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.08491508,14.84375,15.27910686,15.31847134,15.39877301,16.34527089,17.82437746,19.18278228,20.76771654,20.78483538
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,36.81818182,36.81818182,30.45454545,30.45454545,30,30,29.54545455,33.63636364,33.63636364,39.54545455
Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.71428571,22.85714286,27.85714286,27.85714286,29.50819672,29.50819672,35.71428571,35.71428571,35.71428571,35.71428571
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,39.28571429,32.14285714,32.14285714,32.14285714,46.42857143,46.42857143,46.42857143,46.42857143,50,50
Arab World,ARB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18.77984085,19.27561399,18.88402121,19.06077348,17.56653992,19.54695851,18.22454308,18.24625886,17.72823779,18.15243738
United Arab Emirates,ARE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,22.5,22.5,22.5,22.5,50,50,50,50,50,50
Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,35.79766537,38.13229572,38.91050584,40.15748031,40.85603113,44.74708171,44.74708171,43.19066148,42.41245136
Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.6870229,10.6870229,18.0952381,18.0952381,23.48484848,23.48484848,33.64485981,35.51401869,35.51401869,36.44859813
American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,
Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,5.555555556,5.555555556
Australia,AUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.66666667,28.66666667,28.66666667,28.66666667,30.46357616,30.46357616,31.12582781,38.41059603,38.41059603,38
Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,30.6010929,30.6010929,34.42622951,34.42622951,39.3442623,39.3442623,40.43715847,40.98360656,40.98360656,36.06557377
Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,16.93548387,16.8,16.8,16.8,16.80672269,17.3553719,18.18181818,18.33333333,18.6440678,20.8
Burundi,BDI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,38.21138211,38.21138211,38.21138211,38.21138211,38.21138211
Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,39.33333333,39.33333333,38,38,42,41.33333333,42,42.66666667,42.66666667,41.33333333
Benin,BEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.228915663,7.228915663,7.228915663,7.228915663,7.228915663,7.228915663,8.43373494,7.407407407,26.60550459,26.60550459
Burkina Faso,BFA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.448818898,9.448818898,11.02362205,11.02362205,13.38582677,6.299212598,6.299212598,16.90140845,16.90140845,18.30985915
Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20,20,20.28571429,20.28571429,20.63037249,20.91690544,20.85714286,20.85714286,20.85714286,
Bulgaria,BGR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.41666667,20.41666667,23.75,23.75,25.83333333,26.66666667,23.75,24.16666667,24.16666667,20.83333333
Bahrain,BHR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.5,7.5,7.5,15,15,15,15,20,20,20
"Bahamas, The",BHS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,13.15789474,13.15789474,12.82051282,12.82051282,12.82051282,12.82051282,17.94871795,17.94871795,17.94871795,17.94871795
Bosnia and Herzegovina,BIH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143,26.19047619,26.19047619,16.66666667,19.04761905,19.04761905
Belarus,BLR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,27.27272727,34.54545455,34.54545455,34.54545455,40,40,40,40,40,33.63636364
Belize,BLZ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.125,3.125,9.375,9.375,9.375,9.677419355,12.5,12.5,15.625,15.625
Bermuda,BMU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,
Bolivia,BOL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,53.07692308,53.07692308,53.07692308,53.07692308,53.07692308,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615
Brazil,BRA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.941520468,9.941520468,10.72124756,15.00974659,15.00974659,14.61988304,15.20467836,17.73879142,17.54385965,17.54385965
Barbados,BRB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,16.66666667,16.66666667,16.66666667,20,20,20,20,26.66666667,26.66666667,26.66666667
Brunei Darussalam,BRN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,6.451612903,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,11.76470588,11.76470588
Bhutan,BTN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8.510638298,8.510638298,8.510638298,14.89361702,14.89361702,14.89361702,17.0212766,17.39130435,17.39130435,4.255319149
Botswana,BWA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.523809524,9.523809524,9.523809524,9.523809524,10.76923077,10.76923077,10.76923077,11.11111111,11.11111111,8.695652174
Central African Republic,CAF,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,7.194244604,8.571428571,8.571428571,8.571428571,8.571428571,12.85714286,12.85714286,12.85714286,11.42857143
Canada,CAN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.03550296,26.03550296,26.26865672,26.94610778,28.99408284,28.99408284,30.47337278,30.47337278,30.6547619,30.6547619
Central Europe and the Baltics,CEB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.11648746,19.89247312,22.30448866,22.72096252,23.69273484,24.98843128,24.21296296,25.0693802,25.53191489,25.46296296
Switzerland,CHE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,32,32,32.5,32.5,41.5,41.5,42.5,41.5,38.5,38.5
Channel Islands,CHI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,
Chile,CHL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.83333333,15.83333333,,22.58064516,22.58064516,22.58064516,35.48387097,35.48387097,35.48387097,35.48387097
China,CHN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.62284556,23.62284556,24.24760602,24.89932886,24.94117647,24.94117647,24.94117647,24.94117647,26.536782,26.536782
Cote d'Ivoire,CIV,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.163346614,9.163346614,10.58823529,10.58823529,10.98039216,11.37254902,14.17322835,14.17322835,13.7254902,13.38582677
Cameroon,CMR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,31.11111111,31.11111111,31.11111111,31.11111111,31.11111111,33.88888889,33.88888889,33.88888889,33.88888889,33.88888889
"Congo, Dem. Rep.",COD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8.943089431,8.943089431,8.943089431,8.943089431,10,12.8,12.8,12.8,12.8,12.99790356
"Congo, Rep.",COG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.352941176,7.352941176,11.25827815,11.25827815,11.25827815,11.25827815,11.25827815,14.56953642,14.56953642,14.56953642
Colombia,COL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,19.87951807,19.87951807,18.6746988,18.12865497,18.71345029,18.34319527,18.82352941,28.87700535,28.87700535,29.41176471
Comoros,COM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.03030303,3.03030303,6.060606061,6.060606061,6.060606061,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667
Cabo Verde,CPV,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.83333333,23.61111111,23.61111111,23.61111111,23.61111111,25,38.88888889,38.88888889,41.66666667,38.88888889
