Country Name,Country Code,Region,Year,GDP_Per_Capita,GDP_Per_Capita_Growth_Annual_Pct,Female_PostSecondary_Education_Pct,Male_PostSecondary_Education_Pct,Labour_Force_Participation_Female_Pct,Labour_Force_Participation_Male_Pct,Financial_Inclusion_Female,Financial_Inclusion_Male,Maternal_Mortality_Ratio_Per_100k,Women_in_Parliament_Pct,Adult_Literacy_Rate_Female_Pct,Adult_Literacy_Rate_Male_Pct,Adult_Literacy_Rate_Combined_Pct,Gender_Discrimination_Law,Gender_Discrimination_Law_Binary,Maternity_Leave_Days,Paternity_Leave_Days,Shared_Parental_Leave_Days,Youth_Not_In_Edu_Employment_Training_Female_Pct,Youth_Not_In_Edu_Employment_Training_Male_Pct,Youth_Not_In_Edu_Employment_Training_Total_Pct,Unemployment_Female_Pct,Unemployment_Male_Pct,Unemployment_Total_Pct
Afghanistan,AFG,Middle East & North Africa,2015,565.5697304,-1.665057447,NA,NA,19.113,75.308,5,15,741,27.71084337,17.09000015,50.20999908,33.75,No,0,90,14,0,67.347,17.468,41.857,11.611,8.401,9.052
Afghanistan,AFG,Middle East & North Africa,2016,522.0822156,-0.300121027,NA,NA,20.156,74.361,5,15,702,27.71084337,NA,NA,NA,No,0,90,14,0,67.647,18.183,42.362,12.834,9.399,10.133
Afghanistan,AFG,Middle East & North Africa,2017,525.4697709,-0.195569548,1.933274473,8.523880107,21.24,73.401,5,15,659,27.71084337,NA,NA,NA,No,0,90,14,0,67.927,18.847,42.84,14.018,10.363,11.184
Afghanistan,AFG,Middle East & North Africa,2018,491.3372214,-1.713742693,NA,NA,19.808,71.376,5,15,629,NA,NA,NA,NA,No,0,90,14,0,67.968,18.641,42.766,14.783,10.198,11.196
Afghanistan,AFG,Middle East & North Africa,2019,496.6025043,0.856294729,NA,NA,18.304,69.398,5,15,601,27.86885246,NA,NA,NA,No,0,90,14,0,67.964,18.385,42.642,15.549,10.031,11.185
Afghanistan,AFG,Middle East & North Africa,2020,510.7870634,-5.382514642,2.747774402,9.900073859,16.473,66.75,5,15,634,27.01612903,21.68269012,50.37151007,35.9865546430738,No,0,90,14,0,75.591,32.851,53.764,16.778,10.456,11.71
Afghanistan,AFG,Middle East & North Africa,2021,356.4962141,-22.58448187,2.539999962,6.0399999619999996,14.666,67.288,5,15,660,27.01612903,22.60000038,52.06000137,37.2700004577637,No,0,90,14,0,74.124,32.136,52.685,16.945,10.911,11.994
Afghanistan,AFG,Middle East & North Africa,2022,357.2611528,-7.576668912,NA,NA,5.159,70.225,5,15,551,NA,26.60000038,NA,NA,No,0,90,14,0,82.589,29.786,55.619,26.742,13.168,14.1
Afghanistan,AFG,Middle East & North Africa,2023,413.7578947,0.106092801,NA,NA,5.155,70.233,5,15,521,NA,NA,NA,NA,No,0,90,14,0,82.554,29.744,55.558,26.57,13.066,13.991
Afghanistan,AFG,Middle East & North Africa,2024,NA,NA,NA,NA,5.104,69.873,5,15,NA,NA,NA,NA,NA,No,0,90,14,0,82.604,29.394,55.386,25.636,12.394,13.295
Albania,ALB,Europe & Central Asia,2015,3981.726623,2.525830935,NA,NA,47.116,64.257,46,43,9,20.71428571,NA,NA,NA,Yes,1,365,0,0,31.224,28.432,29.816,17.122,17.248,17.193
Albania,ALB,Europe & Central Asia,2016,4168.375445,4.075198423,14.31253948,14.31905677,49.888,65.075,46,43,8,22.85714286,NA,NA,NA,Yes,1,365,0,0,27.608,27.178,27.391,14.49,16.162,15.418
Albania,ALB,Europe & Central Asia,2017,4614.047969,3.378211536,15.53784691,15.370931,49.736,66.751,46,43,8,27.85714286,99.05000305,98.56999969,98.8199996948242,Yes,1,365,3,0,27.5,24.986,26.228,12.524,14.466,13.616
Albania,ALB,Europe & Central Asia,2018,5365.488802,3.927525709,17.50093119,16.15102641,51.407,67.535,46,43,7,27.85714286,NA,NA,NA,Yes,1,365,3,0,27.752,25.512,26.614,11.888,12.635,12.304
